,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214
0,wonderful,strong,moving,statement,boss,please,tell,much,sen,mccain,appreciated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,thxto,former,colleagues,terribly,sorry,fsos,stand,front,lines,surely,devotedly,soldiers,thinking,pat,everyone,morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,fyi,fyi,ads,aaron,snipe,spokesperson,bureau,near,eastern,affairs,u,department,state,unclassifif81,c,street,nw,room,6250,washington,dc,20520,u,department,state,case,f,2015,04841,doc,c05739550,state,dept,produced,house,select,benghazi,comm,sent,tuesday,september,11,2012,5,26,ranz,david,j,sievers,marc,j,linfield,david,e,sayles,ambrose,g,nea,press,dl,nea,egypt,shea,peter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,confidential,march,3,2011confidential,march,3,2011re,syria,aiding,qaddafi,memo,two,parts,part,one,report,syria,providing,air,support,qaddafi,part,two,note,cody,lord,david,owen,former,uk,foreign,secretary,views,increasingly,complex,crisis,seems,situation,developing,protracted,civil,war,various,nations,backing,opposing,sides,unforeseen,consequences,circumstances,crucial,challenge,deprive,qaddafi,strategic,depth—his,support,financial,military,report,afternoon,march,3,advisers,muammar,qaddafi,stated,privately,libyan,leader,decided,civil,war,inevitable,pitting,troops,mercenary,troops,loyal,rebel,forces,gathering,around,benghazi,qaddafi,convinced,rebels,supported,united,states,western,europe,israel,march,2,qaddafi,told,son,saif,al,islam,believes,intelligence,services,united,states,great,britain,cody,realistically,un,authorise,fly,zone,gaddafi,continues,hold,bombing,strafing,keeping,front,military,agenda,keeps,worried,yet,frustrating,months,ambivalence,kept,serbian,aeroplanes,ground,acted,hope,preparations,continue,visuals,planes,flying,carriers,airborne,early,warning,planes,flying,people,clout,outside,administration,demanding,preparations,big,else,encourage,humanitarian,ships,convoys,egypt,bring,supplies,since,must,ensure,cities,east,hold,living,standards,maybe,months,adventurous,egyptian,special,forces,go,advise,even,supplying,hand,held,missiles,appears,missiles,military,east,deliberately,kept,ill,equipped,old,nasserite,sentiment,federation,egypt,sudan,libya,know,say,egypt,enough,problems,stay,resolutely,focused,domestic,reforms,delicate,words,alone,balance,advantage,slip,gaddafi,gaddafi
4,htte,maxbiumenthal,com12012,09,meet,right,wing,extremist,behind,anti,musiim,tihn,sparked,deadly,riots,sent,verizon,wireless,4g,lte,droid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,anti,muslim,film,director,hiding,following,libya,egypt,violence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,confidential,march,3,2011confidential,march,3,2011re,syria,aiding,qaddafi,memo,two,parts,part,one,report,syria,providing,air,support,qaddafi,part,two,note,cody,lord,david,owen,former,uk,foreign,secretary,views,increasingly,complex,crisis,seems,situation,developing,protracted,civil,war,various,nations,backing,opposing,sides,unforeseen,consequences,circumstances,crucial,challenge,deprive,qaddafi,strategic,depth,support,financial,military,report,afternoon,march,3,advisers,muammar,qaddafi,stated,privately,libyan,leader,decided,civil,war,inevitable,pitting,troops,mercenary,troops,loyal,rebel,forces,gathering,around,benghazi,qaddafi,convinced,rebels,supported,united,states,western,europe,israel,march,2,qaddafi,told,son,saif,al,islam,believes,intelligence,services,united,states,great,britain,cody,realistically,un,authorise,fly,zone,gaddafi,continues,hold,bombing,strafing,keeping,front,military,agenda,keeps,worried,yet,frustrating,months,ambivalence,kept,serbian,aeroplanes,ground,acted,hope,preparations,continue,visuals,planes,flying,carriers,airborne,early,warning,planes,flying,people,clout,outside,administration,demanding,preparations,big,else,encourage,humanitarian,ships,convoys,egypt,bring,supplies,since,must,ensure,cities,east,hold,living,standards,maybe,months,adventurous,egyptian,special,forces,go,advise,even,supplying,hand,held,missiles,appears,missiles,military,east,deliberately,kept,ill,equipped,old,nasserite,sentiment,federation,egypt,sudan,libya,know,say,egypt,enough,problems,stay,resolutely,focused,domestic,reforms,delicate,words,alone,balance,advantage,slip,gaddafi,gaddafi
7,fyifor,anyone,missed,secretary,remarks,morning,worth,read,anyone,missed,secretary,remarks,morning,worth,read,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,sbu,back,back,phone,calls,morning,qatari,pm,fm,hamad,bin,jassim,uae,foreign,minister,abdullah,bin,zayed,content,virtually,identical,su,esting,either,rare,coincidence,likely,unusual,level,uae,qatari,coordination,yesterday,arab,league,meeting,main,points,mostly,sbu,back,back,phone,calls,morning,qatari,pm,fm,hamad,bin,jassim,uae,foreign,minister,abdullah,bin,zayed,content,virtually,identical,su,esting,either,rare,coincidence,likely,unusual,level,uae,qatari,coordination,yesterday,arab,league,meeting,main,points,mostly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,sent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,including,mine,remarks,really,moving,chriswas,amazing,man,huge,loss,know,libya,coming,almost,ten,years,never,worked,calm,cool,headed,funny,diplomat,made,seem,really,easy,even,one,hardest,places,work,world,spokesperson,nea,true,spokesperson,nea,true,sent,wednesday,september,12,2012,10,07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,sent,wednesday,september,12,2012,9,12,pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,hope,see,picture,kamala,sent,libya,alhurra,tv,via,facebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,another,photo,carnal°,lakhdhir,p,executive,assistant,202,647,1598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,nice,b6,jake,moved,hillary,powerful,presence,today,screen,watched,along,millions,america,around,world,emphathetic,unflinching,inspiring,wise,steady,strong,80,year,old,mother,called,la,say,like,rock,gibraltar,greater,compliment,secretary,state,awful,day,salute,well,colleagues,crafted,remarks,tremendous,time,factual,constraints,really,showed,everyone,stuff,made,admiration,affection,liz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,hope,see,picture,kamala,sent,hope,see,picture,kamala,sent,libya,hurra,tv,via,facebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,sending,direct,serafrom,verizori,wireless,4g,lte,david,original,messagesending,direct,serafrom,verizori,wireless,4g,lte,david,original,messageto,8,4,n,gt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,attachments,hrc,memo,magariat,attack,us,libya,091212,docx,pis,print,confidential,september,12,2012re,magariaf,attack,us,libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,attachments,hrc,memo,magariaf,attack,us,libya,091212,docxb6,confidential,september,12,2012re,magariaf,attack,us,libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,sent,magariaf,private,reaxre,magariaf,private,reax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,get,around,asap,sending,direct,sent,verizon,wireless,4g,lte,droidto,lt,cgt,b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,remind,discussi,wanted,let,know,secretary,condolence,call,earlier,today,tell,secretary,spoke,withnea,says,told,beth,jones,importance,highsent,wednesday,september,12,2012,8,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,http,religion,b1ogs,cnn,com,20,1,2,09,13,take,deadlv,link,islamic,anti,islam,c,extremists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,see,note,belowjake,huma,please,find,status,report,chris,stevens,mission,benghazi,thanks,timstatus,update,chris,stevens,mission,benghazi,current,game,plan,mr,stevens,move,later,wednesday,malta,benghazi,stage,shore,initially,one,day,visit,meetings,tnc,interlocutors,get,sense,situation,ground,goal,one,day,trip,lay,groundwork,stay,30,days,accompanied,ds,team,staff,member,embassy,tripoli,leader,usaid,dart,team,support,ambassador,cretz,embassy,tripoli,mr,stevens,contact,tnc,members,ground,benghazi,elsewhere,team,also,contact,diplomatic,missions,ngos,benghazi,expect,get,support,particular,turks,since,fell,ill,saturday—critical,condition,damaged,aorta,emergency,surgery—this,sudden,awful,ending,shock,richard,holbrooke,astounding,volcano,vitality,everything,abouthttp,www,newyorker,com,online,blogs,hendrikhertzberg,2010,12,holbrooke,html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,hi,sorry,chance,see,want,hear,directly,great,result,cancun,way,beyond,expectations,many,challenges,ahead,good,day,us,great,day,mexico,happy,holiday,see,best,todd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,verma,richard,r,turk,david,sen,ron,wyden,early,stage,prostate,cancer,miss,votes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,big,change,plans,senate,senator,reid,announced,longer,going,move,forward,omnibus,appropriations,bill,instead,filed,cloture,motions,repeal,ask,tell,dream,act,petitions,ripen,saturday,looks,like,senate,considering,new,start,treaty,tomorrow,know,starting,time,shortly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,original,messagepis,print,original,messagei,assume,saw,worth,read,forwarded,messageto,jake,sullivar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,pvervee,sent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
